title,author,length
The Mercy of Gods,James S.A. Corey,Length: 18 hrs and 30 mins
Goodbye Girl,James Grippando,Length: 12 hrs and 2 mins
The Waters,Bonnie Jo Campbell,Length: 14 hrs and 40 mins
Camino Ghosts,John Grisham,Length: 9 hrs
Toxic Prey,John Sandford,Length: 12 hrs
War Against the Jews,Alan Dershowitz,Length: 4 hrs and 48 mins
The Sign of Four Spirits,Vicki Delany,Length: 8 hrs and 26 mins
Our Enemies Will Vanish,Yaroslav Trofimov,Length: 12 hrs and 11 mins
Plan Your Year Like a Millionaire,Rachel Rodgers,Length: 2 hrs
Wind and Truth,Brandon Sanderson,Length: 45 hrs
The Nightmare in Him,Suzanne Wright,Length: 13 hrs and 46 mins
One Night in a Thousand Years,Craig Cunningham,Length: 4 hrs and 18 mins
Fight Right,"Julie Schwartz Gottman PhD,John Gottman PhD",Length: 10 hrs and 21 mins
When Business Is Love,Jan Ryde,Length: 8 hrs and 12 mins
Friend Zoned,Evelyn Sola,Length: 12 hrs and 15 mins
The Total Money Makeover (Expanded and Updated),Dave Ramsey,Length: 7 hrs and 17 mins
Krieg Chess,Phil Tucker,Length: 12 hrs and 30 mins
Do the New You,Steven Furtick,Length: 9 hrs and 25 mins
Lethal Vengeance,Robert Bryndza,Length: 10 hrs
The Demon of Unrest,Erik Larson,Length: 15 hrs
"Azarinth Healer, Book Three",Rhaegar,Length: 29 hrs and 23 mins
Read Write Own,Chris Dixon,Length: 8 hrs and 9 mins
The Heiress,Rachel Hawkins,Length: 8 hrs and 20 mins
The 5 Principles of Parenting,Aliza Pressman,Length: 11 hrs and 9 mins
Lone Wolf,Gregg Hurwitz,Length: 13 hrs and 13 mins
System Overclocked 2,Randi Darren,Length: 13 hrs and 56 mins
Prima Facie,Suzie Miller,Length: 7 hrs and 30 mins
Somewhere Beyond the Sea,TJ Klune,Length: 12 hrs
Game of Castles,Marcus Sloss,Length: 27 hrs and 3 mins
Bloodline,Seth Ring,Length: 14 hrs
Heal Your Nervous System,Linnea Passaler,Length: 12 hrs and 53 mins
The Women,Kristin Hannah,Length: 14 hrs and 57 mins
House of Flame and Shadow,Sarah J. Maas,Length: Not Yet Known
Tom Clancy Act of Defiance,"Brian Andrews,Jeffrey Wilson",Length: 13 hrs
Mark of the Fated 3,Ricky Fleet,Length: 30 hrs and 32 mins
Your Pocket Therapist,Dr. Annie Zimmerman,Length: 8 hrs and 17 mins
Funny Story,Emily Henry,Length: 11 hrs
A Calamity of Souls,David Baldacci,Length: 12 hrs
Supercommunicators,Charles Duhigg,Length: 7 hrs and 29 mins
The Dawn and Its Light,Piper CJ,Length: 18 hrs and 53 mins
Better Broken,Sean J. Rogers,Length: 4 hrs and 41 mins
Down These Mean Streets,"Larry Correia,Kacey Ezell - editor",Length: 14 hrs and 56 mins
The Night Island,Jayne Ann Krentz,Length: 8 hrs and 23 mins
Deep Freeze,Michael C. Grumley,Length: 10 hrs and 24 mins
The Bystander: A Horror Movie LitRPG,Rob M. Lastrel,Length: 12 hrs and 14 mins
Three-Inch Teeth,C. J. Box,Length: 12 hrs and 15 mins
The Rediscovery of America,Ned Blackhawk,Length: 25 hrs
Dead Man's Hand,Brad Taylor,Length: 12 hrs and 43 mins
Karma,Boy George,Length: 7 hrs and 41 mins
Streetwise to Saleswise,"Jeff C. West,Bob Burg",Length: 4 hrs and 4 mins
State of Suspense,Marie Force,Length: Not Yet Known
"Change Your Diet, Change Your Mind",Dr. Georgia Ede MD,Length: 14 hrs and 21 mins
Bull's Eye,Shannon Baker,Length: 8 hrs and 56 mins
Wraith Squadron,Aaron Allston,Length: 16 hrs and 4 mins
Bridging The Gap,Mark Tufo,Length: Not Yet Known
Embers,Nicole Fanning,Length: 11 hrs and 28 mins
The 5 Resets,Aditi Nerurkar,Length: 8 hrs and 19 mins
Husband and Wife,K. L. Slater,Length: 9 hrs and 11 mins
1000 Words,Jami Attenberg,Length: 4 hrs and 56 mins
Worldship Files: Underside,Erik Schubach,Length: 4 hrs and 43 mins
The Just and the Unjust,Lance McMillian,Length: 10 hrs and 47 mins
Magical Midlife Flowers,K.F. Breene,Length: 3 hrs and 55 mins
The Hunter,Tana French,Length: 14 hrs
Comprende tus emociones,Enrique Rojas,Length: 5 hrs and 1 min
Nemesis,Jeremy Robinson,Length: 10 hrs and 33 mins
Visions of Flesh and Blood,"Jennifer L. Armentrout,Rayvn Salvador - contributor",Length: 6 hrs
Love in Brutal Devotion,BJ Alpha,Length: 4 hrs and 24 mins
Cursed at Dawn,Heather Graham,Length: 8 hrs and 36 mins
Keeping Finance Personal,Ellyce Fulmore,Length: 10 hrs and 20 mins
She's Not Sorry,Mary Kubica,Length: 10 hrs and 45 mins
Slow Productivity,Cal Newport,Length: 9 hrs and 30 mins
Never Not Working,Malissa Clark,Length: 5 hrs and 19 mins
Aftermath,Craig Alanson,Length: 19 hrs and 10 mins
The Anxious Generation,Jonathan Haidt,Length: 11 hrs
Star Wars: Mace Windu: The Glass Abyss,Steven Barnes,Length: 13 hrs
Sherlock Holmes,"Arthur Conan Doyle,Stephen Fry - introductions",Length: 62 hrs and 52 mins
The Chaos Agent,Mark Greaney,Length: Not Yet Known
Dream,Scott Carney,Length: 3 hrs and 31 mins
House of Earth and Blood (Part 1 of 2) (Dramatized Adaptation),Sarah J. Maas,Length: 10 hrs
The Magic That Binds,AJ Sherwood,Length: 13 hrs and 13 mins
The Jester of Apocalypse: Immortality,Robert Blaise,Length: 17 hrs and 41 mins
Empath and Psychic Powers Awakened,S. M. Weng,Length: 5 hrs and 47 mins
Gut Check,Steven R. Gundry MD,Length: 8 hrs and 59 mins
Golden Son,Pierce Brown,Length: 19 hrs and 3 mins
Secure Love,Julie Menanno,Length: 10 hrs and 27 mins
Unshrinking,Kate Manne,Length: 6 hrs and 38 mins
Grilled Armageddon,Dakota Krout,Length: 13 hrs and 45 mins
Dark Feminine Energy Free Your Femme Fatale,"Nya Love,Kara Lawrence",Length: 4 hrs and 30 mins
Practicing the Way,John Mark Comer,Length: 6 hrs and 24 mins
Protecting My Peace,Elizabeth Leiba,Length: 8 hrs and 8 mins
Cluelessly Yours,Max Monroe,Length: 9 hrs and 18 mins
Fort Scratchy,Jerry Boyd,Length: 8 hrs and 43 mins
"Overlord, Vol. 11","Kugane Maruyama,so-bin - illustrator",Length: 11 hrs and 9 mins
Scorched Earth,Harish R. Bharadwaj,Length: 13 hrs and 51 mins
Death at a Scottish Wedding,Lucy Connelly,Length: 8 hrs and 19 mins
Don't Die,"Zero,Bryan Johnson",Length: 6 hrs and 30 mins
The Pocket Pair,Emma St. Clair,Length: 9 hrs and 53 mins
A Sure Duke,Christi Caldwell,Length: 8 hrs and 4 mins
The Ghost Orchid,Jonathan Kellerman,Length: 10 hrs and 7 mins
The Friction Project,"Robert I. Sutton,Huggy Rao",Length: 8 hrs and 45 mins
Grimoire Thief Volume 1: Hero's Gambit,Atlas Kane,Length: 13 hrs and 16 mins
Meadow Falls,Carolyn Brown,Length: 8 hrs and 4 mins
The First Rule of Mastery,"Michael Gervais,Kevin Lake - contributor",Length: 9 hrs
Cosmic Progeny: Rise of the Xeno-Sire,A.V. Ray,Length: 13 hrs and 27 mins
Think Ahead,Craig Groeschel,Length: 6 hrs and 25 mins
The Exception,Eva Winners,Length: 18 hrs and 46 mins
The Djinn Waits a Hundred Years,Shubnum Khan,Length: 10 hrs and 20 mins
The Busy Brain Cure,Romie Mushtaq,Length: 8 hrs and 15 mins
Tied Over,Mary Calmes,Length: 6 hrs and 53 mins
A Song for the Dead,D.K. Hood,Length: 8 hrs and 6 mins
Lady of Embers,Melissa Roehrich,Length: 23 hrs and 36 mins
Hell Divers XI: Renegades,Nicholas Sansbury Smith,Length: 13 hrs and 4 mins
The End of Everything,Victor Davis Hanson,Length: 15 hrs
Backwoods Romeo,Daniel Elijah Sanderfer,Length: 1 hr and 37 mins
How Memory Works and Why Your Brain Remembers Wrong,"Gabrielle F. Principe,The Great Courses",Length: 5 hrs and 47 mins
Reborn as a Demonic Tree 2,XKarnation,Length: 13 hrs and 15 mins
He's Not My Type,Meghan Quinn,Length: 11 hrs and 40 mins
Midnight Creed,Alex Kava,Length: 8 hrs and 52 mins
Joe Ledger,"Jonathan Maberry,Kevin J. Anderson,Wayne Brady,Maurice Broaddus,Scott Sigler,John G. Hartness,Heather Graham,Kat Richardson,Peter Clines,Keith R.A. Decandido,Tori Eldridge,Dana Fredsti,Kevin Ikenberry,Bryan Thomas Schmidt,Marie Whittaker",Length: 11 hrs and 59 mins
Turning Inward,"Ross Rayburn,Eve Adamson - contributor",Length: 8 hrs and 23 mins
The Laws of Human Nature,Robert Greene,Length: 28 hrs and 26 mins
The Deceiving Look,Victor Methos,Length: 9 hrs and 23 mins
Master Class 3,"Virgil Knightley,Annabelle Hawthorne",Length: 10 hrs and 29 mins
The Fellowship of the Ring,J. R. R. Tolkien,Length: 22 hrs and 38 mins
Outlander,Diana Gabaldon,Length: 32 hrs and 38 mins
Welcome to the Basement,Tim Ross,Length: 7 hrs
You Dreamed of Empires,"Álvaro Enrigue,Natasha Wimmer - translator",Length: 6 hrs and 24 mins
It's Not You,Ramani Durvasula PhD,Length: 12 hrs
The World Wasn't Ready for You,Justin C. Key,Length: 11 hrs and 33 mins
The Engineer,Will Wight,Length: 11 hrs and 11 mins
"Holmes, Marple & Poe","James Patterson,Brian Sitts",Length: 9 hrs and 8 mins
The MSing Link,Dr. Gretchen Hawley,Length: 4 hrs and 11 mins
Reborn as a Space Mercenary: I Woke Up Piloting the Strongest Starship! Vol. 6,Ryuto,Length: 6 hrs and 7 mins
The Beloved,J.R. Ward,Length: 10 hrs
Damaged Goods,L.J. Shen,Length: Not Yet Known
Lor,Lily Mayne,Length: 20 hrs and 28 mins
Wait for U,Shvonne Latrice,Length: 12 hrs and 14 mins
Polostan,Neal Stephenson,Length: 12 hrs
Capitalist Realism,Mark Fisher,Length: 4 hrs and 10 mins
Morning Star,Pierce Brown,Length: 21 hrs and 50 mins
Revelation: A LitRPG Adventure,V.A. Lewis,Length: 9 hrs and 23 mins
Sylver Seeker 2,Kennit Kenway,Length: 22 hrs and 56 mins
Emily Wilde's Map of the Otherlands,Heather Fawcett,Length: 12 hrs and 4 mins
Empire of Storms,Sarah J. Maas,Length: 25 hrs and 18 mins
First Line of Defense 2,Benjamin Kerei,Length: 11 hrs and 40 mins
Mindfulness for Daily Stressors,"Rachael Kable,The Great Courses",Length: 2 hrs and 37 mins
The Strange,Nathan Ballingrud,Length: 10 hrs and 23 mins
This Little Piggy,JD Kirk,Length: 11 hrs and 24 mins
Bells Hells—What Doesn't Break,"Cassandra Khaw,Critical Role",Length: 15 hrs
The Forever World,Ethan Rhodes,Length: 13 hrs and 11 mins
The Hitman's Guide to Codenames and Ill-Gotten Gains,Alice Winters,Length: 9 hrs and 26 mins
Collided,Becca Steele,Length: 5 hrs and 41 mins
Apocalypse,"R.A. Mejia,Charles Dean",Length: 8 hrs and 34 mins
Soulstone Bakery,John Broadway,Length: 11 hrs and 13 mins
Thunderplump,Dakota Krout,Length: 12 hrs and 13 mins
Shine,"Gino Wickman,Rob Dube",Length: 5 hrs and 15 mins
Defiant,Brandon Sanderson,Length: 13 hrs and 49 mins
The Carpet People,Terry Pratchett,Length: 5 hrs and 1 min
Swamp Monsters,Matt Dixon,Length: 8 hrs and 11 mins
Accidental Goblin King,Leon West,Length: 11 hrs and 51 mins
Caregiver's Guide to Dementia & Alzheimer's,Alison Blaire,Length: 4 hrs and 53 mins
He Who Fights with Monsters: A LitRPG Adventure,"Shirtaloon,Travis Deverell",Length: 28 hrs and 56 mins
Decoding Your Dog,"Amer. Coll. of Veterinary Behaviorists,Debra F. Horwitz",Length: 12 hrs and 23 mins
A Crossover Adventure,Tijan,Length: 3 hrs and 13 mins
The Haunting of Hangman Manor,Vincent Valentean,Length: 8 hrs and 44 mins
The Amen Effect,Sharon Brous,Length: 5 hrs and 19 mins
"Harry Potter and the Deathly Hallows, Book 7",J.K. Rowling,Length: 21 hrs and 36 mins
"Harry Potter and the Half-Blood Prince, Book 6",J.K. Rowling,Length: 18 hrs and 32 mins
The Well of Ascension,Brandon Sanderson,Length: 28 hrs and 56 mins
Blood Pact,Dan Abnett,Length: 10 hrs and 55 mins
The Year of the Locust,Terry Hayes,Length: 29 hrs and 17 mins
Red Company: Contact,B.V. Larson,Length: 9 hrs and 57 mins
The Guests,Margot Hunt,Length: 9 hrs and 20 mins
The Two Towers,J. R. R. Tolkien,Length: 16 hrs and 40 mins
All That Glitters Is Magic,"Brenda Trim,Tia Didmon",Length: 4 hrs and 25 mins
Crown of Midnight,Sarah J. Maas,Length: 12 hrs and 43 mins
Lord of Chaos,Robert Jordan,Length: 41 hrs and 32 mins
The Rebels,Joshua Green,Length: 10 hrs and 33 mins
Words of Radiance,Brandon Sanderson,Length: 48 hrs and 13 mins
The Two Towers,J. R. R. Tolkien,Length: 20 hrs and 46 mins
The Six Disciplines of Strategic Thinking,Michael D. Watkins,Length: 4 hrs and 21 mins
Running on Empty,Sam Hall,Length: 14 hrs and 11 mins
Eldest,Christopher Paolini,Length: 23 hrs and 30 mins
Any Duke in a Storm,Amalie Howard,Length: 11 hrs and 38 mins
A Clash of Kings,George R.R. Martin,Length: 37 hrs and 12 mins
Sunshine Avenue,Jan Moran,Length: 6 hrs and 14 mins
The Edge,David Baldacci,Length: 11 hrs and 45 mins
Fairy Tale,Stephen King,Length: 24 hrs and 6 mins
Star Wars: Temptation of the Force (The High Republic),Tessa Gratton,Length: 12 hrs
Full Metal Panic! Volume 3,Shouji Gatou,Length: 7 hrs and 30 mins
Not the End of the World,Hannah Ritchie,Length: 9 hrs and 26 mins
House of Sky and Breath,Sarah J. Maas,Length: 27 hrs and 42 mins
Oathbringer,Brandon Sanderson,Length: 55 hrs and 5 mins
Get the F*ck Out Your Own Way,MJ Harris,Length: 7 hrs and 37 mins
Genesis,Teddy Konickson,Length: 6 hrs and 53 mins
Holly,Stephen King,Length: 15 hrs and 24 mins
"The Word of Promise Audio Bible—New King James Version, NKJV: Complete Bible",Thomas Nelson Inc.,Length: 98 hrs and 1 min
Hábitos atómicos (Español neutro),James Clear,Length: 9 hrs and 1 min
"Harry Potter and the Chamber of Secrets, Book 2",J.K. Rowling,Length: 9 hrs and 2 mins
The Daughters' War,Christopher Buehlman,Length: 9 hrs and 45 mins
Return of the Legendary Lord Omnibus: Books 1-3,"Marcus Sloss,Seth Pike",Length: 35 hrs and 31 mins
Living the Artist's Way,Julia Cameron,Length: 5 hrs and 28 mins
Hercule Poirot: The Complete Short Stories,Agatha Christie,Length: 35 hrs and 5 mins
Governor,"Richard Fox,David Weber",Length: 20 hrs and 36 mins
Wraithstorm,S. M. Boyce,Length: 30 hrs and 54 mins
Between Never and Forever,Brit Benson,Length: 14 hrs and 23 mins
"Help Me, I’m a Perfectionist",Vaughn Carter,Length: 3 hrs and 50 mins
Chasing the Alpha's Son,Penny Jessup,Length: 10 hrs and 17 mins
I'm Not the Hero: An Isekai LitRPG,SourpatchHero,Length: 17 hrs and 34 mins
Powerful Listening: How to Harness Your Most Essential Skill,"Kwame Christian,The Great Courses",Length: 2 hrs and 48 mins
Dead Tired I,RavensDagger,Length: 9 hrs and 43 mins
"Harry Potter and the Sorcerer's Stone, Book 1",J.K. Rowling,Length: 8 hrs and 18 mins
Sex in the Middle Ages,"Jennifer McNabb,The Great Courses",Length: 5 hrs and 12 mins
Rhythm of War,Brandon Sanderson,Length: 57 hrs and 26 mins
Come As You Are: Revised and Updated,Emily Nagoski PhD,Length: 11 hrs and 30 mins
Molly's Letter,Jennifer Donnelly,Length: 3 hrs and 32 mins
Four Minutes,"Jeffrey Wilson,Brian Andrews",Length: 11 hrs
Optimal,"Daniel Goleman,Cary Cherniss",Length: 7 hrs and 55 mins
A Storm of Swords,George R.R. Martin,Length: 47 hrs and 34 mins
Yuletide Yowl,Danielle Garrett,Length: 5 hrs and 5 mins
Too Late,Colleen Hoover,Length: 10 hrs and 19 mins
The Fires of Heaven,Robert Jordan,Length: 36 hrs and 27 mins
The Friendship Club,Robyn Carr,Length: 9 hrs and 49 mins
The Dungeon Anarchist's Cookbook,Matt Dinniman,Length: 16 hrs and 54 mins
The Hunger Games: Special Edition,Suzanne Collins,Length: 10 hrs and 35 mins
Titan Blood: A LitRPG Progression Fantasy,Plum Parrot,Length: 17 hrs and 24 mins
Heir of Fire,Sarah J. Maas,Length: 17 hrs and 56 mins
Resurrection Walk,Michael Connelly,Length: 10 hrs and 30 mins
1984,George Orwell,Length: 11 hrs and 22 mins
Outbound Flight,Timothy Zahn,Length: 17 hrs and 36 mins
The Fyodor Dostoyevsky Complete Collection,Fyodor Dostoyevsky,Length: 225 hrs
House of Earth and Blood,Sarah J. Maas,Length: 27 hrs and 50 mins
"The DNA of Democracy, Book 1",Richard C. Lyons,Length: 11 hrs and 36 mins
Behemoth Hunter,"Marcus Sloss,Stoham Baginbott",Length: 6 hrs and 42 mins
Iron Gold,Pierce Brown,Length: 23 hrs and 23 mins
"The Saint's Magic Power Is Omnipotent (Light Novel), Vol. 6",橘 由華,Length: 4 hrs and 46 mins
Fundamentals of Data Analytics,Russell Dawson,Length: 4 hrs and 20 mins
Dead Reckoning,Joshua Dalzelle,Length: 8 hrs and 26 mins
Assembly Required,Nick Noble,Length: 6 hrs and 48 mins
The Chronicles of Narnia Complete Audio Collection,C. S. Lewis,Length: 33 hrs and 45 mins
The Shadow Rising,Robert Jordan,Length: 41 hrs and 13 mins
The Battle of the Labyrinth,Rick Riordan,Length: 10 hrs and 31 mins
This Book May Save Your Life,Dr. Karan Rajan,Length: 8 hrs and 45 mins
Northwoods,Amy Pease,Length: 9 hrs and 45 mins
Defiance of the Fall 11,"TheFirstDefier,JF Brink",Length: 24 hrs and 47 mins
American Black Widow,Gregg Olsen,Length: 10 hrs and 23 mins
Queen of Shadows,Sarah J. Maas,Length: 20 hrs and 43 mins
"Harry Potter and the Order of the Phoenix, Book 5",J.K. Rowling,Length: 26 hrs and 28 mins
Sink,Joseph Earl Thomas,Length: 6 hrs and 18 mins
A Breath of Fresh Air,Jessica Redland,Length: 8 hrs and 44 mins
Get Your Assets to Work,Curtis Haines,Length: 2 hrs and 42 mins
The Rise and Fall of the Third Reich,William L. Shirer,Length: 57 hrs and 11 mins
Atlas of the Heart,Brené Brown,Length: 8 hrs and 29 mins
Tower of Dawn,Sarah J. Maas,Length: 22 hrs and 39 mins
Turtle Terror,Jasmine Webb,Length: 6 hrs and 6 mins
Never Finished,David Goggins,Length: 11 hrs and 6 mins
Argylle,Elly Conway,Length: 13 hrs and 34 mins
Fourth Wing (Part 1 of 2) (Dramatized Adaptation),Rebecca Yarros,Length: 7 hrs and 52 mins
Light Bringer,Pierce Brown,Length: 30 hrs and 8 mins
Survivor's Quest,Timothy Zahn,Length: 18 hrs and 49 mins
A Court of Mist and Fury,Sarah J. Maas,Length: 23 hrs and 16 mins
A Little Luck,Tia Louise,Length: 8 hrs and 37 mins
Sewer Skewers,Dakota Krout,Length: 11 hrs and 39 mins
The Cauldron and the Drum,Rhonda McCrimmon,Length: 5 hrs and 11 mins
Preservation,Seth Ring,Length: 13 hrs and 15 mins
Taking Control,JA Low,Length: 7 hrs and 29 mins
The Wise Man's Fear,Patrick Rothfuss,Length: 42 hrs and 55 mins
The Ball at Versailles,Danielle Steel,Length: 9 hrs and 15 mins
Soundtrack of Silence,Matt Hay,Length: 6 hrs and 58 mins
The Atlas Maneuver,Steve Berry,Length: 13 hrs and 20 mins
Property of a Rich Nigga 2,Jessica N. Watkins,Length: 8 hrs and 15 mins
Catching Fire,Suzanne Collins,Length: 11 hrs and 3 mins
Poor Deer,Claire Oshetsky,Length: 6 hrs and 7 mins
"Harry Potter and the Prisoner of Azkaban, Book 3",J.K. Rowling,Length: 11 hrs and 49 mins
The Primal Hunter 7 - A LitRPG Adventure,Zogarth,Length: 17 hrs and 49 mins
Killing Floor,Lee Child,Length: 17 hrs and 47 mins
Ruthless Rebel,Faith Summers,Length: 9 hrs and 51 mins
House of Open Wounds,Adrian Tchaikovsky,Length: 23 hrs and 1 min
48 Laws of Power,Robert Greene,Length: 23 hrs and 6 mins
Immortal Prince,"Caroline Peckham,Susanne Valenti",Length: 13 hrs and 49 mins
Space Punks,Anna Mocikat,Length: 11 hrs and 53 mins
The Age of Magical Overthinking,Amanda Montell,Length: 6 hrs
"Harry Potter and the Goblet of Fire, Book 4",J.K. Rowling,Length: 20 hrs and 36 mins
The Stand,Stephen King,Length: 47 hrs and 47 mins
Bride,Ali Hazelwood,Length: 12 hrs
Seven Shades of Evil,Robert McCammon,Length: 17 hrs and 34 mins
Rich Dad Poor Dad,Robert T. Kiyosaki,Length: 6 hrs and 9 mins
Way to the North,Kirill Klevanski,Length: 16 hrs and 5 mins
A Court of Silver Flames,Sarah J. Maas,Length: 26 hrs and 5 mins
A Fire in the Flesh,Jennifer L. Armentrout,Length: 24 hrs and 3 mins
The Wolf King's Lair Omnibus,Devan Drake,Length: 63 hrs and 53 mins
Witching on the Job,Amanda M. Lee,Length: 9 hrs and 12 mins
